title,year,director,genre,producer,country,actors,length,budget
Звёздные войны. Эпизод VI: Возвращение джедая,1983,Ричард Маркуанд,"боевик,приключение,фэнтези",,,"Марк Хэмилл,Харрисон Форд,Кэрри Фишер,Билли Ди Уильямс,Энтони Дэниэлс,Дэвид Проуз,Кенни Бейкер,Питер Мейхью,Фрэнк Оз,Иан Макдермид",135 мин,$32 500 000
Твоё имя,2016,Макото Синкай,"мультфильм,драма,фэнтези",,,,,
История игрушек: Большой побег,2010,Ли Анкрич,"мультфильм,приключение,кинокомедия",[en],,,103 мин.,200 млн 
Умница Уилл Хантинг,1997,Гас Ван Сент,"драма,романтический фильм",,США,"Мэтт Деймон,Робин Уильямс",127 минут,10 000 000 
Подводная лодка,1981,Вольфганг Петерсен,"драма,военный фильм",,,"Юрген Прохнов,Херберт Грёнемайер,Хуберт Бенгш",Киноверсия: 150 мин.,32 миллиона марок
Однажды в Америке,1984,Серджо Леоне,"детектив,драма",,,"Роберт Де Ниро,Джеймс Вудс,Элизабет Макговерн",229 мин.,30 млн $
Храброе сердце,1995,Мел Гибсон,"байопик,драма,исторический фильм",Элан Лэд-мл.,,"Мел Гибсон,Софи Марсо,Патрик Макгуэн,Кэтрин Маккормак,Брендан Глисон",178 мин.,$72 млн
История игрушек,1995,Джон Лассетер,"мультфильм,приключение,кинокомедия","Ральф Гуггенхейм,ru",,,81 минута,30 млн 
Принцесса Мононоке,1997,Хаяо Миядзаки,"мультфильм,боевик,приключение",,,,63:12,
Мстители: Финал,2019,Братья Руссо,"боевик,приключение,драма",,,"Роберт Дауни-младший,Крис Эванс,Марк Руффало,Крис Хемсворт,Скарлетт Йоханссон,Джереми Реннер,Дон Чидл,Пол Радд,Бри Ларсон,Карен Гиллан,Данай Гурира,Бенедикт Вонг,Джон Фавро,Брэдли Купер,Гвинет Пэлтроу,Джош Бролин",181 мин,356—400 млн
Джокер,2019,Тодд Филлипс,"детектив,драма,триллер","Тодд Филлипс,Эмма Тиллинджер Коскофф",,Хоакин Феникс,122 мин.,$55-70 млн
Олдбой,2003,Пак Чхан Ук,"боевик,драма,фильм-тайна","Ким Дон Чжу,Лим Сын Ён,Kim Dong-ju",Республика Корея,"Чхве Мин Сик,Ю Чжи Тэ,Кан Хё Чжон",116 мин,3 млн 
Амадей,1984,Милош Форман,"байопик,драма,музыкальный фильм",Бертил Олссон,,"Ф. Мюррей Абрахам,Том Халс,Элизабет Берридж,Джеффри Джонс",153 мин.,18 000 000
Бесславные ублюдки,2009,Квентин Тарантино,"приключение,драма,военный фильм",,Германия,,153 мин,70 млн долларов
Тёмный рыцарь: Возрождение легенды,2012,Кристофер Нолан,"боевик,драма",,,"Кристиан Бейл,Майкл Кейн,Гэри Олдмен,Энн Хэтэуэй,Том Харди,Марион Котийяр,Джозеф Гордон-Левитт,Морган Фримен",165 мин,250 млн 
